"FileName","ItemName","RarityNum","TypeNum","Class"
"Terminus Est.asset","Terminus Est","3","0","STG.CurveDash.TwoHandedWeaponData"
"Unique_Starforge.asset","Starforge","3","0","STG.CurveDash.TwoHandedWeaponData"
"Vaal Greatsword.asset","Vaal Greatsword","0","0","STG.CurveDash.TwoHandedWeaponData"
"Brightbeak.asset","Brightbeak","3","0","STG.CurveDash.TwoHandedWeaponData"
"Cameria's Maul.asset","Cameria's Maul","3","0","STG.CurveDash.TwoHandedWeaponData"
"Driftwood Club.asset","Driftwood Club","0","0","STG.CurveDash.TwoHandedWeaponData"
"Heavy Club.asset","Heavy Club","1","0","STG.CurveDash.TwoHandedWeaponData"
"Imperial Maul.asset","Imperial Maul","2","0","STG.CurveDash.TwoHandedWeaponData"
"Iron Maul.asset","Iron Maul","0","0","STG.CurveDash.TwoHandedWeaponData"
"Magic_Heavy_Club.asset","Heavy Club","1","0","STG.CurveDash.TwoHandedWeaponData"
"Marohi Erqi.asset","Marohi Erqi","3","0","STG.CurveDash.TwoHandedWeaponData"
"Normal_Driftwood_Club.asset","Driftwood Club","0","0","STG.CurveDash.TwoHandedWeaponData"
"Pinnacle Mace.asset","Pinnacle Mace","1","0","STG.CurveDash.TwoHandedWeaponData"
"Plated Maul.asset","Plated Maul","2","0","STG.CurveDash.TwoHandedWeaponData"
"Rare_Spiked_Club.asset","Spiked Club","2","0","STG.CurveDash.TwoHandedWeaponData"
"Spiked Club.asset","Spiked Club","2","0","STG.CurveDash.TwoHandedWeaponData"
"Steel Maul.asset","Steel Maul","1","0","STG.CurveDash.TwoHandedWeaponData"
"Unique_Marohi_Erqi.asset","Marohi Erqi","3","0","STG.CurveDash.TwoHandedWeaponData"
"Vaal Maul.asset","Vaal Maul","0","0","STG.CurveDash.TwoHandedWeaponData"
"Beheaded Sword.asset","Beheaded Sword","2","0","STG.CurveDash.OneHandedWeaponData"
"Corsair Sword.asset","Corsair Sword","0","0","STG.CurveDash.OneHandedWeaponData"
"Elegant Sword.asset","Elegant Sword","1","0","STG.CurveDash.OneHandedWeaponData"
"Eternal Sword.asset","Eternal Sword","0","0","STG.CurveDash.OneHandedWeaponData"
"Glinting Sword.asset","Glinting Sword","1","0","STG.CurveDash.OneHandedWeaponData"
"Ichimonji.asset","Ichimonji","3","0","STG.CurveDash.OneHandedWeaponData"
"Jewelled Foil.asset","Jewelled Foil","2","0","STG.CurveDash.OneHandedWeaponData"
"Magic_Glinting_Sword.asset","Glinting Sword","1","0","STG.CurveDash.OneHandedWeaponData"
"Normal_Rusted_Sword.asset","Rusted Sword","0","0","STG.CurveDash.OneHandedWeaponData"
"Paradoxica.asset","Paradoxica","3","0","STG.CurveDash.OneHandedWeaponData"
"Rare_Scaeva.asset","Scaeva","2","0","STG.CurveDash.OneHandedWeaponData"
"Rusted Sword.asset","Rusted Sword","0","0","STG.CurveDash.OneHandedWeaponData"
"Scaeva.asset","Scaeva","2","0","STG.CurveDash.OneHandedWeaponData"
"The Saviour.asset","The Saviour","3","0","STG.CurveDash.OneHandedWeaponData"
"Unique_Paradoxica.asset","Paradoxica","3","0","STG.CurveDash.OneHandedWeaponData"
"Vaal Blade.asset","Vaal Blade","1","0","STG.CurveDash.OneHandedWeaponData"
"Aegis Aurora.asset","Aegis Aurora","2","0","STG.CurveDash.OffHandData"
"Bronze Shield.asset","Bronze Shield","2","0","STG.CurveDash.OffHandData"
"Iron Shield.asset","Iron Shield","0","0","STG.CurveDash.OffHandData"
"Lycosidae.asset","Lycosidae","2","0","STG.CurveDash.OffHandData"
"Magic_Rusted_Round_Shield.asset","Rusted Round Shield","1","1","STG.CurveDash.OffHandData"
"Normal_Splintered_Shield.asset","Splintered Shield","0","1","STG.CurveDash.OffHandData"
"Pinnacle Tower Shield.asset","Pinnacle Tower Shield","2","0","STG.CurveDash.OffHandData"
"Rare_Bronze_Shield.asset","Bronze Shield","2","1","STG.CurveDash.OffHandData"
"Rise of the Phoenix.asset","Rise of the Phoenix","2","0","STG.CurveDash.OffHandData"
"Rusted Round Shield.asset","Rusted Round Shield","1","0","STG.CurveDash.OffHandData"
"Splintered Shield.asset","Splintered Shield","0","0","STG.CurveDash.OffHandData"
"Steel Shield.asset","Steel Shield","1","0","STG.CurveDash.OffHandData"
"Titan Shield.asset","Titan Shield","1","0","STG.CurveDash.OffHandData"
"Tower Shield.asset","Tower Shield","2","0","STG.CurveDash.OffHandData"
"Unique_Aegis_Aurora.asset","Aegis Aurora","3","1","STG.CurveDash.OffHandData"
"Vaal Shield.asset","Vaal Shield","0","0","STG.CurveDash.OffHandData"
